,num,plain,jit,np
76,770.0,0.10763733799103647,0.0006180600030347705,0.0002893430064432323
77,780.0,0.11039671997423284,0.0006336070073302835,0.0002978509874083102
78,790.0,0.1132577000244055,0.0006538149900734425,0.0003199840139131993
79,800.0,0.11605156300356612,0.000671194982714951,0.00032532899058423936
80,810.0,0.1191055880044587,0.0006886699993629009,0.0003227709967177361
81,820.0,0.12205739199998789,0.000700714997947216,0.00033233899739570916
82,830.0,0.12507965101394802,0.0007223730208352208,0.00034121100907213986
83,840.0,0.1281407969945576,0.0007401559851132333,0.00035269599175080657
84,850.0,0.131180813012179,0.0007595909992232919,0.0003490879898890853
85,860.0,0.13431941499584354,0.0007837100129108876,0.000360984995495528
86,870.0,0.1374891769955866,0.0007895119779277593,0.00037867698119953275
87,880.0,0.14075509901158512,0.0008110009948723018,0.0003897300048265606
